1,Verenigde Staten van Amerika,William Shepherd,31/10/2000
1,Rusland,Sergei Krikalev,31/10/2000
1,Rusland,Yuri Gidzenko,31/10/2000
2,Rusland,Yury Usachov,08/03/2001
2,Verenigde Staten van Amerika,James S. Voss,08/03/2001
2,Verenigde Staten van Amerika,Susan Helms,08/03/2001
3,Verenigde Staten van Amerika,Frank L. Culbertson Jr.,10/08/2001
3,Rusland,Mikhail Tyurin,10/08/2001
3,Rusland,Vladimir Dezhurov,10/08/2001
4,Rusland,Yury Onufriyenko,05/12/2001
4,Verenigde Staten van Amerika,Carl E. Walz,05/12/2001
4,Verenigde Staten van Amerika,Daniel W. Bursch,05/12/2001
5,Rusland,Valery Korzun,05/06/2002
5,Rusland,Sergei Treshchov,05/06/2002
5,Verenigde Staten van Amerika,Peggy Whitson,05/06/2002
6,Verenigde Staten van Amerika,Ken Bowersox,24/11/2002
6,Verenigde Staten van Amerika,Donald Pettit,24/11/2002
6,Rusland,Nikolai Budarin,24/11/2002
7,Rusland,Yuri Malenchenko,26/04/2003
7,Verenigde Staten van Amerika,Ed Lu,26/04/2003
8,Verenigde Staten van Amerika,Michael Foale,18/10/2003
8,Rusland,Aleksandr Kaleri,18/10/2003
9,Rusland,Gennady Padalka,19/04/2004
9,Verenigde Staten van Amerika,Michael Fincke,19/04/2004
10,Verenigde Staten van Amerika,Leroy Chiao,24/10/2004
10,Rusland,Salizhan Sharipov,24/10/2004
11,Rusland,Sergei Krikalev,15/04/2005
11,Verenigde Staten van Amerika,John L. Phillips,15/04/2005
12,Verenigde Staten van Amerika,William S. McArthur,01/10/2005
12,Rusland,Valeri Tokarev,01/10/2005
13,Rusland,Pavel Vinogradov,30/03/2006
13,Verenigde Staten van Amerika,Jeffrey Williams,30/03/2006
13,Duitsland,Thomas Reiter,30/03/2006
14,Verenigde Staten van Amerika,Michael Lpez-Alegra,18/09/2006
14,Rusland,Mikhail Tyurin,18/09/2006
14,Duitsland,Thomas Reiter,18/09/2006
14,Verenigde Staten van Amerika,Sunita Williams,18/09/2006
15,Rusland,Fyodor Yurchikhin,07/04/2007
15,Rusland,Oleg Kotov,07/04/2007
15,Verenigde Staten van Amerika,Sunita Williams,07/04/2007
15,Verenigde Staten van Amerika,Clayton Anderson,07/04/2007
16,Verenigde Staten van Amerika,Peggy Whitson,10/10/2007
16,Rusland,Yuri Malenchenko,10/10/2007
16,Verenigde Staten van Amerika,Clayton Anderson,10/10/2007
16,Verenigde Staten van Amerika,Daniel M. Tani,10/10/2007
16,Frankrijk,Lopold Eyharts,10/10/2007
16,Verenigde Staten van Amerika,Garrett Reisman,10/10/2007
17,Rusland,Sergey Volkov,08/04/2008
17,Rusland,Oleg Kononenko,08/04/2008
17,Verenigde Staten van Amerika,Garrett Reisman,08/04/2008
